"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0011804,0.0033878,0.59182,0.0024473,10.602,0.0072066,0.005205,1,2.1488,5.85,2.1488,0.817
0.0013906,0.0029339,0.60079,0.0014575,10.596,0.0053827,0.0052136,1,2.176,5.85,2.176,0.817
0.0016001,0.0024958,0.6085,0.00051475,10.591,0.0037734,0.0052216,1,2.2032,5.85,2.2032,0.817
0.0018164,0.0023776,0.61576,0.0004323,10.588,0.0041476,0.0051732,1,2.2304,5.85,2.2304,0.817
0.0020326,0.0022594,0.62301,0.00034984,10.586,0.0045219,0.0051248,1,2.2576,5.85,2.2576,0.817
0.0022489,0.0021412,0.63026,0.00026738,10.583,0.0048962,0.0050765,1,2.2848,5.85,2.2848,0.817
0.0024651,0.002023,0.63751,0.00018492,10.58,0.0052705,0.0050281,1,2.312,5.85,2.312,0.817
0.0025628,0.0019357,0.64368,0.00014017,10.579,0.0053318,0.0049868,1,2.3392,5.85,2.3392,0.817
0.0023699,0.0019242,0.64994,0.0001906,10.579,0.0043826,0.004961,1,2.3664,5.85,2.3664,0.817
0.0021769,0.0019127,0.65619,0.00024103,10.579,0.0034334,0.0049353,1,2.3936,5.85,2.3936,0.817
0.001984,0.0019012,0.66245,0.00029145,10.579,0.0024841,0.0049096,1,2.4208,5.85,2.4208,0.817
0.0017909,0.0018903,0.66855,0.00034266,10.58,0.0015491,0.0048844,1,2.448,5.85,2.448,0.817
0.001678,0.0036404,0.6729,0.0024651,10.573,0.00078006,0.0048488,1,2.4752,5.85,2.4752,0.817
0.0016392,0.0069863,0.67692,0.0064641,10.56,4.6122e-05,0.0047989,1,2.5024,5.85,2.5024,0.817
0.0016004,0.010332,0.68094,0.010463,10.548,-0.00068782,0.0047489,1,2.5296,5.85,2.5296,0.817
0.0015616,0.013678,0.68496,0.014462,10.535,-0.0014218,0.004699,1,2.5568,5.85,2.5568,0.817
0.0015266,0.017094,0.68875,0.018583,10.522,-0.0021256,0.0046486,1,2.584,5.85,2.584,0.817
0.0013242,0.020587,0.69129,0.022826,8.8354,-0.0017484,0.0039433,1,2.6112,5.85,2.6112,0.817
0.0010695,0.023908,0.69357,0.026768,6.6266,-0.0013113,0.0029575,1,2.6384,5.85,2.6384,0.817
0.00081471,0.027228,0.69586,0.030709,4.4177,-0.00087422,0.0019717,1,2.6656,5.85,2.6656,0.817
0.00055994,0.030549,0.69814,0.03465,2.2089,-0.00043711,0.00098583,1,2.6928,5.85,2.6928,0.817
0.00030518,0.03387,0.70043,0.038592,0,0,0,1,2.72,5.85,2.72,0.817
