x,p,k,epsilon
153.333333333,1.90405819911,0.446800387175,0.00149487560457
155.405405405,1.9322241884,0.446909839224,0.00149692282676
157.477477477,1.96591037424,0.447027012621,0.00149648547263
159.54954955,2.0026014741,0.447166585824,0.00149619889765
161.621621622,2.03978149073,0.447318085163,0.00149672308322
163.693693694,2.07696150736,0.447469584502,0.00149724726879
165.765765766,2.11415586369,0.447621040613,0.00149780681808
167.837837838,2.15215198898,0.447770079738,0.00150034364052
169.90990991,2.2000775247,0.447938700714,0.00149919483956
171.981981982,2.25101832332,0.448124576099,0.0014993178264
174.054054054,2.30270492305,0.448314826318,0.00149977818928
176.126126126,2.36514069566,0.448545704457,0.00150036302829
178.198198198,2.42966642892,0.448774580724,0.00150103326108
180.27027027,2.4993519733,0.449000120931,0.00150194895931
182.342342342,2.55579118444,0.449249057644,0.00150255436179
184.414414414,2.60987644117,0.449482063096,0.00150320686698
186.486486486,2.66525945916,0.449720877646,0.00150407712795
188.558558559,2.74041137887,0.450089552813,0.00150535062723
190.630630631,2.81559785057,0.450494156581,0.00150665104146
192.702702703,2.89512789999,0.450942148757,0.00150811462847
194.774774775,2.98312235728,0.451474692704,0.00150989619322
196.846846847,3.07081818765,0.451979506328,0.00151160378232
198.918918919,3.16576304261,0.452534080808,0.00151347563369
200.990990991,3.27044618619,0.453202899816,0.0015156919062
203.063063063,3.37573234972,0.453913139646,0.0015180188705
205.135135135,3.49266139332,0.454757782565,0.0015207226946
207.207207207,3.61920043315,0.455713361367,0.00152373757758
209.279279279,3.7448098149,0.456609900116,0.00152660779386
211.351351351,3.88706648863,0.45769300832,0.00152998139909
213.423423423,4.03917467976,0.458941469212,0.00153378315834
215.495495495,4.19192556091,0.460233982331,0.00153769152701
217.567567568,4.36908525423,0.461872583901,0.00154248559456
219.63963964,4.55410065722,0.463622570259,0.00154756471462
221.711711712,4.73771096047,0.4652522188,0.00155236224102
223.783783784,4.95440335462,0.467377854789,0.00155849457673
225.855855856,5.17761732713,0.469703198828,0.00156506777573
227.927927928,5.40118900804,0.472064988838,0.00157170948716
230,5.66823454526,0.475210516801,0.00158040838
232.072072072,5.9365849773,0.478354917013,0.00158914715553
