z,U_0,U_1,U_2
241.28256513,8.98083547444,0,0
242.685370741,8.98603180423,0,0
244.088176353,8.99122813403,0,0
245.490981964,8.99642446382,0,0
246.893787575,9.00162079362,0,0
248.296593186,9.00681712341,0,0
249.699398798,9.01201345321,0,0
251.102204409,9.017209783,0,0
252.50501002,9.02231614385,0,0
253.907815631,9.0270232654,0,0
255.310621242,9.03173038696,0,0
256.713426854,9.03643750851,0,0
258.116232465,9.04114463006,0,0
259.519038076,9.04585175161,0,0
260.921843687,9.05055887316,0,0
262.324649299,9.05526599471,0,0
263.72745491,9.05997311626,0,0
265.130260521,9.06468023782,0,0
266.533066132,9.06938735937,0,0
267.935871743,9.07409448092,0,0
269.338677355,9.07880160247,0,0
270.741482966,9.08350872402,0,0
272.144288577,9.08821584557,0,0
273.547094188,9.09292296712,0,0
274.9498998,9.09763008868,0,0
276.352705411,9.10233721023,0,0
277.755511022,9.10704433178,0,0
279.158316633,9.11152084061,0,0
280.561122244,9.11578654762,0,0
281.963927856,9.12005225462,0,0
283.366733467,9.12431796162,0,0
284.769539078,9.12858366863,0,0
286.172344689,9.13284937563,0,0
287.575150301,9.13711508264,0,0
288.977955912,9.14138078964,0,0
290.380761523,9.14564649665,0,0
291.783567134,9.14991220365,0,0
293.186372745,9.15417791065,0,0
294.589178357,9.15844361766,0,0
295.991983968,9.16270932466,0,0
297.394789579,9.16697503167,0,0
298.79759519,9.17124073867,0,0
300.200400802,9.17550644568,0,0
301.603206413,9.17977215268,0,0
303.006012024,9.18403785968,0,0
304.408817635,9.18830356669,0,0
305.811623246,9.19256927369,0,0
307.214428858,9.19683112481,0,0
308.617234469,9.20069822524,0,0
310.02004008,9.20456532566,0,0
311.422845691,9.20843242609,0,0
312.825651303,9.21229952652,0,0
314.228456914,9.21616662694,0,0
315.631262525,9.22003372737,0,0
317.034068136,9.2239008278,0,0
318.436873747,9.22776792822,0,0
319.839679359,9.23163502865,0,0
321.24248497,9.23550212908,0,0
322.645290581,9.2393692295,0,0
324.048096192,9.24323632993,0,0
325.450901804,9.24710343036,0,0
326.853707415,9.25097053078,0,0
328.256513026,9.25483763121,0,0
329.659318637,9.25870473164,0,0
331.062124248,9.26257183206,0,0
332.46492986,9.26643893249,0,0
333.867735471,9.27030603292,0,0
335.270541082,9.27417313334,0,0
336.673346693,9.27804023377,0,0
338.076152305,9.2819073342,0,0
339.478957916,9.28560803752,0,0
340.881763527,9.28911493187,0,0
342.284569138,9.29262182621,0,0
343.687374749,9.29612872055,0,0
345.090180361,9.29963561489,0,0
346.492985972,9.30314250923,0,0
347.895791583,9.30664940357,0,0
349.298597194,9.31015629791,0,0
350.701402806,9.31366319226,0,0
352.104208417,9.3171700866,0,0
353.507014028,9.32067698094,0,0
354.909819639,9.32418387528,0,0
356.312625251,9.32769076962,0,0
357.715430862,9.33119766396,0,0
359.118236473,9.3347045583,0,0
360.521042084,9.33821145264,0,0
361.923847695,9.34171834699,0,0
363.326653307,9.34522524133,0,0
364.729458918,9.34873213567,0,0
366.132264529,9.35223903001,0,0
367.53507014,9.35574592435,0,0
368.937875752,9.35925281869,0,0
370.340681363,9.36275971303,0,0
371.743486974,9.36626660738,0,0
373.146292585,9.36977350172,0,0
374.549098196,9.37305976098,0,0
375.951903808,9.37624094297,0,0
377.354709419,9.37942212496,0,0
378.75751503,9.38260330695,0,0
380.160320641,9.38578448894,0,0
381.563126253,9.38896567093,0,0
382.965931864,9.39214685292,0,0
384.368737475,9.39532803492,0,0
385.771543086,9.39850921691,0,0
387.174348697,9.4016903989,0,0
388.577154309,9.40487158089,0,0
389.97995992,9.40805276288,0,0
391.382765531,9.41123394487,0,0
392.785571142,9.41441512686,0,0
394.188376754,9.41759630886,0,0
395.591182365,9.42077749085,0,0
396.993987976,9.42395867284,0,0
398.396793587,9.42713985483,0,0
399.799599198,9.43032103682,0,0
401.20240481,9.43350221881,0,0
402.605210421,9.4366834008,0,0
404.008016032,9.4398645828,0,0
405.410821643,9.44304576479,0,0
406.813627255,9.44622694678,0,0
408.216432866,9.44940812877,0,0
409.619238477,9.45258931076,0,0
411.022044088,9.45577049275,0,0
412.424849699,9.45882375042,0,0
413.827655311,9.46171024234,0,0
415.230460922,9.46459673426,0,0
416.633266533,9.46748322617,0,0
418.036072144,9.47036971809,0,0
419.438877756,9.47325621001,0,0
420.841683367,9.47614270192,0,0
422.244488978,9.47902919384,0,0
423.647294589,9.48191568576,0,0
425.0501002,9.48480217767,0,0
426.452905812,9.48768866959,0,0
427.855711423,9.49057516151,0,0
429.258517034,9.49346165342,0,0
430.661322645,9.49634814534,0,0
432.064128257,9.49923463726,0,0
433.466933868,9.50212112917,0,0
434.869739479,9.50500762109,0,0
436.27254509,9.50789411301,0,0
437.675350701,9.51078060492,0,0
439.078156313,9.51366709684,0,0
440.480961924,9.51655358876,0,0
441.883767535,9.51944008067,0,0
443.286573146,9.52232657259,0,0
444.689378758,9.52521306451,0,0
446.092184369,9.52809955642,0,0
447.49498998,9.53098604834,0,0
448.897795591,9.53387254026,0,0
450.300601202,9.53675903217,0,0
451.703406814,9.53964552409,0,0
453.106212425,9.54253201601,0,0
454.509018036,9.54467181878,9.17772618209e-08,3.72633061197e-16
455.911823647,9.54602867483,2.79788287981e-07,1.13599342766e-15
457.314629259,9.54738553089,4.67799314142e-07,1.89935379413e-15
458.71743487,9.54874238694,6.55810340302e-07,2.66271416059e-15
460.120240481,9.55009924299,8.43821366462e-07,3.42607452706e-15
461.523046092,9.55145609904,1.03183239262e-06,4.18943489352e-15
462.925851703,9.55281295509,1.21984341878e-06,4.95279525999e-15
464.328657315,9.55416981114,1.40785444494e-06,5.71615562646e-15
465.731462926,9.55552666719,1.5958654711e-06,6.47951599292e-15
467.134268537,9.55688352324,1.78387649726e-06,7.24287635939e-15
468.537074148,9.55824037929,1.97188752342e-06,8.00623672585e-15
469.93987976,9.55959723534,2.15989854958e-06,8.76959709232e-15
471.342685371,9.56095409139,2.34790957574e-06,9.53295745878e-15
472.745490982,9.56231094744,2.53592060191e-06,1.02963178253e-14
474.148296593,9.56366780349,2.72393162807e-06,1.10596781917e-14
475.551102204,9.56502465954,2.91194265423e-06,1.18230385582e-14
476.953907816,9.56638151559,3.08875289473e-06,1.25863989246e-14
478.356713427,9.56773837164,2.90075268143e-06,1.33497592911e-14
479.759519038,9.56909522769,2.71275246813e-06,1.41131196576e-14
