"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0010055,0.0035114,0.11761,0.0028909,10.644,-0.013818,0.0026869,1,2.1488,10.35,2.1488,0.817
0.0011611,0.002898,0.11816,0.0016691,10.64,-0.014686,0.0026615,1,2.176,10.35,2.176,0.817
0.0013095,0.0023107,0.11869,0.00050357,10.637,-0.015482,0.0026355,1,2.2032,10.35,2.2032,0.817
0.0013139,0.0022472,0.11883,0.0004642,10.636,-0.014835,0.0025987,1,2.2304,10.35,2.2304,0.817
0.0013156,0.0021855,0.11895,0.00042732,10.635,-0.014194,0.0025618,1,2.2576,10.35,2.2576,0.817
0.0013174,0.0021238,0.11906,0.00039044,10.634,-0.013554,0.0025249,1,2.2848,10.35,2.2848,0.817
0.0013191,0.002062,0.11918,0.00035357,10.633,-0.012913,0.0024879,1,2.312,10.35,2.312,0.817
0.0012777,0.0022597,0.11946,0.00081616,10.637,-0.012459,0.0024576,1,2.3392,10.35,2.3392,0.817
0.0011302,0.0031309,0.12013,0.0025844,10.656,-0.012476,0.0024433,1,2.3664,10.35,2.3664,0.817
0.00098433,0.0040296,0.1208,0.0044159,10.675,-0.012493,0.0024287,1,2.3936,10.35,2.3936,0.817
0.00083848,0.0049284,0.12147,0.0062473,10.694,-0.01251,0.002414,1,2.4208,10.35,2.4208,0.817
0.00069264,0.0058271,0.12213,0.0080787,10.713,-0.012528,0.0023993,1,2.448,10.35,2.448,0.817
0.00087711,0.01461,0.12249,0.029473,10.691,-0.013096,0.0023573,1,2.4752,10.35,2.4752,0.817
0.0013709,0.030926,0.1226,0.069997,10.63,-0.014161,0.0022899,1,2.5024,10.35,2.5024,0.817
0.0018684,0.04739,0.12272,0.11106,10.568,-0.015225,0.0022222,1,2.5296,10.35,2.5296,0.817
0.0023659,0.063854,0.12283,0.15213,10.506,-0.016289,0.0021544,1,2.5568,10.35,2.5568,0.817
0.0028634,0.080318,0.12295,0.1932,10.444,-0.017354,0.0020867,1,2.584,10.35,2.584,0.817
0.0026025,0.096093,0.12239,0.2329,8.7607,-0.014785,0.0017391,1,2.6112,10.35,2.6112,0.817
0.0021047,0.11165,0.12161,0.27216,6.5707,-0.011081,0.0013041,1,2.6384,10.35,2.6384,0.817
0.0016068,0.12721,0.12084,0.31143,4.3807,-0.0073765,0.00086908,1,2.6656,10.35,2.6656,0.817
0.001109,0.14277,0.12007,0.3507,2.1907,-0.0036723,0.00043406,1,2.6928,10.35,2.6928,0.817
0.00061818,0.15795,0.11928,0.38852,0,0,0,1,2.72,10.35,2.72,0.817
