"nut":
"k": turbulencia
"p": presion
"epsilon"
"U:0" = U_x (paralelo al viento)
"U:1" = U_y
"U:2" = U_z
"Points:0" = coordenada_x
"Points:1" = coordenada_y
"Points:2" = coordenada_z (vale siempre lo mismo ya estos son datos para un plano en z)

"nut","k","p","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.006816,0.04395,0.19432,0.029818,6.4438,-0.0016239,-0.0062532,7.6494,1.4248,0.817
0.0074108,0.11258,0.19135,0.17749,6.5694,-0.006945,-0.0042009,7.5198,1.5543,0.817
0.0070046,0.04291,0.19262,0.027591,6.4416,-0.0016593,-0.0061875,7.5198,1.4248,0.817
0.016589,0.41159,0.19663,0.93595,7.2153,-0.026128,-0.0015554,7.6494,1.6838,0.817
0.016143,0.40237,0.19488,0.92039,7.1856,-0.025316,-0.0015401,7.5198,1.6838,0.817
0.023082,0.63798,0.20147,1.5901,8.4522,-0.049113,0.00036341,7.6494,1.8133,0.817
0.022751,0.63375,0.19999,1.5922,8.4353,-0.04927,0.00035759,7.5198,1.8133,0.817
0.013489,0.37067,0.20717,0.92382,9.7903,-0.034616,0.0018878,7.6494,1.9429,0.817
0.013267,0.36824,0.20628,0.92707,9.7963,-0.034669,0.0019011,7.5198,1.9429,0.817
0.0025648,0.053016,0.20967,0.10257,10.484,-0.017384,0.0023732,7.6494,2.0724,0.817
0.0024656,0.050894,0.2091,0.098733,10.49,-0.017097,0.0023846,7.5198,2.0724,0.817
0.0013767,0.0038596,0.20797,0.002388,10.567,-0.017201,0.002265,7.6494,2.2019,0.817
0.0013945,0.0037987,0.20758,0.0022654,10.567,-0.017168,0.002282,7.5198,2.2019,0.817
0.0023817,0.0021166,0.21025,0.00017654,10.56,-0.012789,0.0020003,7.6494,2.3314,0.817
0.0024536,0.002114,0.21017,0.000172,10.56,-0.012552,0.0020196,7.5198,2.3314,0.817
0.0015003,0.0027525,0.21279,0.0015009,10.604,-0.011571,0.0019415,7.6494,2.461,0.817
0.0015578,0.0026623,0.21288,0.0013581,10.6,-0.011453,0.0019605,7.5198,2.461,0.817
0.0021388,0.037235,0.21241,0.059824,10.458,-0.015883,0.0016764,7.6494,2.5905,0.817
0.0020939,0.035501,0.21257,0.055664,10.462,-0.015629,0.0016995,7.5198,2.5905,0.817
0.00041934,0.067575,0.21113,0.10873,0,0,0,7.5198,2.72,0.817
0.00042858,0.070868,0.21048,0.11677,0,0,0,7.6494,2.72,0.817
0.0072639,0.10664,0.1888,0.16532,6.5565,-0.0064386,-0.0041358,7.3901,1.5543,0.817
0.0072161,0.041978,0.18997,0.025537,6.4399,-0.0016998,-0.006111,7.3901,1.4248,0.817
0.015699,0.39283,0.19224,0.90337,7.1557,-0.024461,-0.0015172,7.3901,1.6838,0.817
0.022406,0.62878,0.19767,1.5919,8.418,-0.049386,0.00035984,7.3901,1.8133,0.817
0.013042,0.36555,0.20467,0.92937,9.8025,-0.034693,0.0019213,7.3901,1.9429,0.817
0.0023691,0.048783,0.20789,0.094835,10.495,-0.016777,0.0024035,7.3901,2.0724,0.817
0.0014126,0.0037437,0.20667,0.0021515,10.567,-0.017107,0.0023068,7.3901,2.2019,0.817
0.0025253,0.0021116,0.20965,0.00016783,10.56,-0.012288,0.0020471,7.3901,2.3314,0.817
0.0016162,0.0025773,0.21258,0.0012257,10.597,-0.011322,0.0019877,7.3901,2.461,0.817
0.0020502,0.033825,0.2124,0.051732,10.466,-0.015347,0.0017309,7.3901,2.5905,0.817
0.00041015,0.064386,0.21151,0.10113,0,0,0,7.3901,2.72,0.817
0.0071447,0.10093,0.18525,0.15345,6.5445,-0.0059238,-0.0040587,7.2605,1.5543,0.817
